Diffuculty,Artikel,Word,Regelmäßige,Plural,Meaning,Sample Sentence
A2,der,Bleistift,-,-e,pencil,Hast du einen Bleistift ? 
A2,-,essen,0,-,eat,Ich esse ein Pizza. 
A2,-,lesen,0,-,read,Er liest ein Buch. 
A2,-,aufmachen,1,-,open,Ich mache das Fenster auf.
A2,-,zumachen,1,-,close,Ich mache das Fenster zu.
A2,-,aufräumen,1,-,tidy up,Ich räume das Zimmer auf.
